comment,overall_satisfaction,recommend,product_quality,repurchase_intent,support_rating
"Rishi Sunak became new PM of UK. It is not only a proud moment for Indians, but  UK is equally blessed to show victory of democracy. India needs to learn these things ,i.e., to give opportunity to right person.",5,yes,5,5,5
@ochkenny @NicolaSturgeon @RishiSunak Nope … they are still detestable …. In fact they are still a lot of much stronger words so go clutch your pearls elsewhere !!,4,yes,4,4,4
@RishiSunak Hope it’s alright with you to make a few people laugh for a change 🙏🏽,5,yes,5,5,5
"@andreajenkyns @RishiSunak Get behind Rishi!! like you got behind David Cameron like you got behind Boris Johnson like you got behind liz Truss, stop taking the electorate for fools",4,yes,4,4,4
@EmmaLouisaJ @timmyvoe @RishiSunak @TiceRichard @reformparty_uk I have removed myself from the Conservative party to Reform Party of Richard Tice.  I can not support traitors who are puppets of Klaus Schwab and the World Economic Forum.,4,yes,4,4,4
@Lordflashh3art @trussliz @RishiSunak Soon to be illegal. For the Plebs that is.,2,no,2,2,2
"Xi Jingpin or Rishi Sunak. Who has the greater electoral mandate?
#RishiSunak #XiJinping #democracyisdead",4,yes,4,4,4
"@MattHancock @RishiSunak But, we don’t need you!",3,yes,3,3,3
"Now all politicians must stop Westminster soap-opera shenanigans and get on with running the country with full focus and determination.

#rishisunak #newprimeminister #ukpolitics",3,yes,3,3,3
"@GBNEWS Hi Mark ....my question is.... Rishi Sunak is the new prime minister .....what are his connections with the WEF movement .....and what are his connections with ""Infosys"" the Indian company that is connected to the Indian digital I D experiment.....",3,yes,3,3,3
@grantshapps @RishiSunak Michael! Is that you?,3,yes,3,3,3
"@Avijit3k2 @ShashiTharoor @RishiSunak When he is talking about PM,you guys are talking about the president? Now honestly answer,can we see that possibilities or will be ever remain like this?",5,yes,5,5,5
"@MrJefferson_1 @steviesteve67 @piersmorgan @RishiSunak Nah he prefers the royals, you know the ones that do nothing but have everything.",3,yes,3,3,3
@annietrev @RishiSunak You backed the lying charlatan I thought! #ToriesDeviodOfShame,2,no,2,2,2
"First Kamala Harris, now Rishi Sunak

The people of the U.S. and the U.K have embraced the non-majority citizens of their countries and elected them to high office in government

I think there is a lesson to learned by India and the parties that practise  majoritarianism.",4,yes,4,4,4
"A party that is rooted with sexism, racism and xenophobia. He represents that. 

He doesn’t represent us. 

We, the everyday south Asian people, will still face barriers in life and in this society that Rishi Sunak has not, and will not, because of his privilege.",3,yes,3,3,3
@JustinWelby @RishiSunak Do I remember you praying in the same way for Liz Truss?,4,yes,4,4,4
If #RishiSunak becomes run country's prime minister's member of parliament his cabinet is back to awful jobs cabinet Hancock Matt. I did not look for a cabinet Matt Hancock his an awful job he broke the rules covid 19 years 2021.,1,no,1,1,1
"@theresa_may @RishiSunak He still called the Cultural sector #unviable, failed to provide everyone with access to furlough/SEISS while the industry was closed, and broke the law his cabinet made while partying during Covid lockdowns. He has no integrity, no mandate, and snuck in by the back door.",2,no,2,2,2
@JoeConnolly66 @trussliz @RishiSunak How to say I'm a xenophobe without saying I'm a xenophobe!,3,yes,3,3,3
"@itvnews @Peston @ChrisMasonBBC @DavidDavisMP @susannareid100 @RhonddaBryant @PippaCrerar @RishiSunak @BethRigby @MrHarryCole @ayeshahazarika @tnewtondunn @thetimes @TimesRadio it is in bad form that BBC take Martine Croxall is taken off air after what she said, it wasn’t rude or",1,no,1,1,1
CONGRATULATION 🤩 @RishiSunak ❤️ I will definitely pray to GOD to guide you wishing a bright and happy future of both the countries 🇮🇳 🇬🇧 AND LOTS OF LOVE❣️ FOR UK CITIZENS,5,yes,5,5,5
"@SueSuezep Out of the last batch of candidates, only #RishiSunak would have even the remotest chance of pulling back support for the #Tories now. The damage appears to be terminal...",3,yes,3,3,3
@RishiSunak is the 6th prime minister to serve in my lifetime,3,yes,3,3,3
Come on Rishi!!!! @RishiSunak 🎉,4,yes,4,4,4
@Snorkyno4 @SkewSmug @Jacob_Rees_Mogg @RishiSunak Hopefully,4,yes,4,4,4
#HappyDiwali2022 ✨🪔 @RishiSunak and everyone reading this!  #PrimeMinister,3,yes,3,3,3
@Conservatives @RishiSunak Celebrating a supremacist coup by an anti-humanist millionaire.. who wants to install social credit slavery on the British people,4,yes,4,4,4
@Conservatives @RishiSunak Just in!  You’ve committed to destroying your own party by forcing Sunak on the membership!,3,yes,3,3,3
Is @RishiSunak a robot?,3,yes,3,3,3
@RishiSunak Congratulation Mr Rishi. Wishing you and your family Happy Diwali. Make Britain Citizens and your Indian origin proud.,5,yes,5,5,5
@piersmorgan @RishiSunak Even his own party members don’t want him! We need a general election.,4,yes,4,4,4
"@ATwarriordonkey @trussliz @RishiSunak truss dident do that
that was net zero and the boe",3,yes,3,3,3
@livemint Rishi Sunak calls for stability and unity in his speech as the Conservative Party reels following a  severe mini economic crisis?,1,no,1,1,1
@RishiSunak You're a WEF puppet,3,yes,3,3,3
"@Conservatives @RishiSunak What a disgrace.

MPs shitting all over democracy once again.

The Tory Party is finished.",2,no,2,2,2
@saradaviescash1 @CJW1701_82 @MaryJasper2 @Jacob_Rees_Mogg @RishiSunak Yes my preference is a box of frogs but weasels was quite amusing. JRM is as gentlemanly as the fictional character Uriah Heap. Softly spoken with a sinister undertone.,3,yes,3,3,3
rishi sunak is me and matt hancock is my uni work,3,yes,3,3,3
@Conservatives @RishiSunak Just another puppet in suit.,3,yes,3,3,3
@Andrew4Pendle @BorisJohnson @Conservatives @RishiSunak Rishi has no mandate. Face the country #ToriesOutNow,2,no,2,2,2
"@kunalkamra88 Are you saying Indians who vote 4 congress are not happy. Moreover why are you behaving like nonchalant Britisher &amp; sadist. Lastly though Rishi Sunak allegiance will be with British People, but still there are positive ways  to look at it. U seem influenced with colonial hangover",5,yes,5,5,5
@paulwaugh @RishiSunak Awful pause at the end. Almost Truss levels of awks.,2,no,2,2,2
"@ShashiTharoor @RishiSunak India already has a minority PM called Narendra Damodardas Modi.
But this minority PM has the votes of the majority, from 2014 to 2019 to 2024 and beyond.",3,yes,3,3,3
@lewis_goodall @DCBMEP The Parliamentary Party foisting @RishiSunak on us is not democracy and in my view will further damage @ConserativesUK because even loyal members and Conserative voters are deserting them taking their example from Rishi when he deserted his post as Chancellor,4,yes,4,4,4
@ActivistSandeep Because @RishiSunak is not bar dancer,3,yes,3,3,3
@Jacob_Rees_Mogg @RishiSunak There are times when saying nothing is far more powerful.,4,yes,4,4,4
@trussliz @RishiSunak You wrecked the economy you need to not speak,3,yes,3,3,3
Rishi sunak promising to come back and fix the economy is like when I pretend to look for our lasses chocolate knowing full well I’ve scranned it #RishiSunakPM,5,yes,5,5,5
"@khalistani2030 @RishiSunak Your older generations might had a good vision, but the way they treated was really bad, true or false?",3,yes,3,3,3
Rishi Sunak is as much a win for diversity as appointing Kanye West,4,yes,4,4,4
@anandmahindra Oh Anand Bhai..Rishi Sunak is british citizen and is thoroughly despicable too.,3,yes,3,3,3
"@RishiSunak Your an opportunist and a backstabber?

That's how your perceived, your only keeping the seat warm for @Keir_Starmer.

#Ready4Rishi 
#RishiSunak 
#ConservativeLeadershipContest 
#ConservativesOut 
#ConservativeParty 
@LiamFox 
@Iromg 
@Nigel_Farage 
#Labour",4,yes,4,4,4
"@SnoChiMinh @JamesMelville At least they would have some competence with the economy.  

#rishisunak",3,yes,3,3,3
@Jacob_Rees_Mogg @RishiSunak That’s great news. Everybody cares about what you think and who you support.,5,yes,5,5,5
@LiamFox @RishiSunak The Tory membership are not happy and then there are the Tory voters.,2,no,2,2,2
@wisteriadeb2022 @kateflett @MattHancock @RishiSunak Just confirms yet again that Sunak is a treacherous ruthless snake. As the death toll &amp; severe adverse reactions mount he will probably want to distance himself from the jabs too. He will just say as Chancellor he just signed the cheques &amp; throw others under the bus.,1,no,1,1,1
@nadhimzahawi @RishiSunak @Conservatives No credibility whatsoever. We aren't buying this Tory lovefest.,2,no,2,2,2
@WilkieGotBanned @Conservatives @RishiSunak Truth is they just don’t care even about their members. Unfortunately that’s becoming increasingly obvious,4,yes,4,4,4
@ANI Golden Temple in Amritsar illuminated and fireworks displayed on the occasion of the election of Rishi Sunak :),4,yes,4,4,4
@ShashiTharoor @RishiSunak Congress has spoiled the nation by dividing based on religion n caste. That doesn’t prevail in UK. He is just a Brit. None is asking if he is a Hindu or anything as you all do here. Election is all about winnability. Don’t act like a joker.,4,yes,4,4,4
"#ऋषि_सुनक
#RishiSunak 
#HappyDiwali         

People who ruled us more than 200 years are now under our control.

History is repeating

Rishi Sunak PM of United Kingdom",4,yes,4,4,4
@trussliz @RishiSunak At least the Tory membership voted for you as leader.  NOBODY voted for Richy. #GENERALELECTIONNOW,3,yes,3,3,3
"#RishiSunak. Congratulations Mr Prime Minister Rishi on your election today .
Wonderful result for your personally, your family and your country. 
Very proud of you . 
Good luck and  much success in all you do. With u Until success and much beyond",5,yes,5,5,5
@WalkerDevon1922 @RishiSunak But he's ur pm anyway😂😂,5,yes,5,5,5
@trussliz @RishiSunak There is a kiss of death if ever there was one !,1,no,1,1,1
"@Conservatives @RishiSunak Bye bye @Conservatives . Also, are you a Ukrainian party? What's with the  Ukrainian colours?",4,yes,4,4,4
@Samudraj_Saha @trussliz @RishiSunak i speak fluent sarcasm. period.,2,no,2,2,2
Churchill must be turning in his grave 😂😂 #rishi_sunak,4,yes,4,4,4
@RishiSunak ..how much tax are we paying on petrol? You said u would remove the tax I’m guessing 48% ?,3,yes,3,3,3
"@velumania Also, those who hate english here are the one celebrating Rishi sunak elevation.",3,yes,3,3,3
@Douglas4Moray @RishiSunak Is there no one in Englands Tory party's ass you would not kiss?,1,no,1,1,1
@hd_kumaraswamy @RishiSunak Congratulations sir 💐,4,yes,4,4,4
"Got to feel a bit sorry for #RishiSunak. 

He’s lost to #LizTruss largely because of his inability to look good wearing one Margaret Thatchers outfits…",2,no,2,2,2
"@Jacob_Rees_Mogg @RishiSunak Mate, stop brown nosing….he will get rid of you anyway!!",2,no,2,2,2
"@JackPosobiec We raise you, @RishiSunak",3,yes,3,3,3
@kssrini1964 @RishiSunak Glad someone agrees!,5,yes,5,5,5
"@LouiseMensch @RishiSunak You assume I am from the labour left , I am not . However I see the result of the neoliberal agendas on the cornerstones of the Uk , expensive overcrowded trains   Shit in the rivers and beaches , nhs at point of collapse , welfare state hollowed out, labour and Tory responsible",1,no,1,1,1
@MattHancock @RishiSunak He's as much integrity as you have faithfulness.,5,yes,5,5,5
"@RishiSunak Can you bypass democratic channels to grab power if you've got £750million in the bank ? Is the UK premiership up for sale now ? Is that what our democracy has been reduced to ?
@conservatives
illegitimate bastard Prime Minister with no mandate.",1,no,1,1,1
rishi sunak call a general election #GeneralElectionN0W #GeneralElection2022 #RishiSunak,3,yes,3,3,3
"@sameer_1206 @IamSanjKumar @piersmorgan @RishiSunak Also, 
""Sunak was born in Southampton 2 parents of African born Punjabi Indian descent who migrated 2 Britain 4rm East Africa in the 60s""
3 generations hv bn out of 🇮🇳 &amp; he'll associate vit India d soft corner, just like Kamala Harris did🤷
but yeah! Proud moment 4 India 😑",5,yes,5,5,5
"@PamGosalMSP Rishi Sunak supports a racist immigration policy, austerity, the transfer of wealth from poor to rich, has a wife who dodges taxes and has no contact with the working class. The demographic he supports is defined  by wealth.. and not heritage.  AQ spot on.",5,yes,5,5,5
It's official Rishi sunak is prime Minister of Britain #RishiSunak #UKPolitics,3,yes,3,3,3
@piersmorgan @RishiSunak Not if Charlie says no he ain’t,2,no,2,2,2
Absolute corruption in uk governance happening in plain sight and its all smiles and waves. The media are a shambles and the public dgaf. Cool. #RishiSunak,5,yes,5,5,5
"@Jacob_Rees_Mogg @RishiSunak Time for the back benches, Jacob.",3,yes,3,3,3
"According a bunch of twitter lunatics!! 

If you said No to #RishiSunak - but said YES to #BorisJohnson YOUR an all out racist. 

What the hell is racist about that ? 

To assume race makes those racist against us",1,no,1,1,1
@RishiSunak Congratulations!,5,yes,5,5,5
@trussliz @DCBMEP @RishiSunak He will be so relieved,4,yes,4,4,4
@trussliz @RishiSunak Are you still here?,3,yes,3,3,3
@andybroooon @mannythehitman @RishiSunak @stephendry @Jamiefowley1 Thanks for the update ..Then why are they not providing updates to the community !! 🤐,4,yes,4,4,4
"@JustinWelby @RishiSunak Rolling out the standard ""praying for new PM"" tweet doesn't really work when the incoming one is Hindu....",4,yes,4,4,4
@drsdgulati @RishiSunak I have never referred to either of them as anything / nor have I ever tweeted about them . What have they got to do with me as British citizen ? But I have seen people refer to them as both .,3,yes,3,3,3
@stimmo @Nigel_Farage @RishiSunak This won't induce Tory voter's to switch Labour.,3,yes,3,3,3
@Jeremy_Hunt @RishiSunak I managed to salvage my business by the skin of my teeth after being excluded from all support for being #newlyselfemployed during 2 years of covid lockdowns (still paying tax mind you). #rishiout #notmypm #GeneralElectionNow,3,yes,3,3,3
"@Mike_Fabricant Bust, trying to look like him is pushing your commitment too far. #RishiSunak",5,yes,5,5,5
"@chhcalling @RishiSunak Cynically backing a prior failed nominee for PM who relates to us all 'coming together' sitting atop a fortune of 730 million, and yet who still can't find a pair of trousers that fit, just to slither your way into favour is not an act of public service and tackling issues🔔🔚.",3,yes,3,3,3
@Premierseafoods @piersmorgan @RishiSunak She sidelined everyone .. was that not the issue?,3,yes,3,3,3
@gayle45 @rec777777 @trussliz @RishiSunak @reformparty_uk @BorisJohnson No. Sterling crashed as the budget took place. It went up when u turns and BoE support to prop up pension funds were announced.,4,yes,4,4,4
@theskindoctor13 @ShashiTharoor @RishiSunak even the 'somewhere else' was a minority community!,3,yes,3,3,3
@sunny_hundal Indians aren’t exactly jubiliant about Rishi Sunak but good luck to him. They just hope that the rampant #Hinduphobia will end.,5,yes,5,5,5
@NewsArenaIndia Fake Right wing have joined hands with left wing &amp; all have started cribbing on Twitter against Rishi Sunak 🤣😂,4,yes,4,4,4
@Douglas4Moray @RishiSunak Sorry... can't hear you for all the sucking and slobbering noises.,3,yes,3,3,3
@Conservatives @RishiSunak Elected.. have a day off.,3,yes,3,3,3
@RishiSunak Congratulations and wishing you all the best,5,yes,5,5,5
@Conservatives @RishiSunak @Twitter can you look into this tweet for #misinformation. This prick was never elected. He was installed. The tweet is a blatant lie,1,no,1,1,1
@LStansbury @RishiSunak Classic Scottish Nationalist whatabouttery 👊,3,yes,3,3,3
"@RosieisaHolt @RishiSunak Am sure Sunak will give you a position in the Cabinet, perhaps lead spokesperson 🤣🤣",5,yes,5,5,5
@RoKhanna @RishiSunak Why did you sign a letter urging President Biden to negotiate Ukraine's future with Putin?,3,yes,3,3,3
Jesus Christ. Rishi Sunak is younger than I am. Not sure why that has shaken me.,2,no,2,2,2
@Jeremy_Hunt @RishiSunak Boo! Boo! Boo! Cheat!!!,1,no,1,1,1
"@ShashiTharoor @RishiSunak Really, sir? We have accommodated a lot of minorities at the highest levels. Please don't willfully ignore that.",4,yes,4,4,4
"So without contest or choice, #RishiSunak made Tory Leader and #NewPM after losing a tory member vote just last month. We're now living with a Prime Minister worth £730 million, and millions are living on the breadline and relying on foodbanks. 

Disgraceful.
#GeneralElectionNow",3,yes,3,3,3
@Jacob_Rees_Mogg @RishiSunak Be gone with you!,3,yes,3,3,3
@trussliz @RishiSunak He really doesn't,3,yes,3,3,3
@Jacob_Rees_Mogg @RishiSunak you said Boris or Bust - so presumably Bust,3,yes,3,3,3
"@Conservatives @RishiSunak Fuck! Well, I guess the WEF is in charge now, good luck everyone, you're going to need it!",5,yes,5,5,5
@Jacob_Rees_Mogg @RishiSunak Not a chance in hell.,1,no,1,1,1
Now Showing: Rishi Rich #RishiSunakPM #Britain,4,yes,4,4,4
@narendramodi @RishiSunak Congratulations 🎉,5,yes,5,5,5
@elizdonn @13sarahmurphy @RishiSunak no they have dumped loads of them in a hotel near me. They gather in large groups during the daytime bothering females as they walk past. They have nothing to offer this country. They deliberately dump there passports so they have no paperwork. We are letting criminals in.,1,no,1,1,1
"@ShashiTharoor @RishiSunak I think you r thinking too far ahead in the future, especially in India  way it is going now....",3,yes,3,3,3
@RishiSunak Speak for yourself! And while you're at it call a general election and we'll show you how 'grateful' we really are.,4,yes,4,4,4
@LeoVaradkar @RishiSunak Worked hard? Born into money like yourself lad.,4,yes,4,4,4
"@piersmorgan @RishiSunak With a combined fortune of £730,000,000. In touch with the working class 😠 kiss goodbye to the NHS for good. GE now.",4,yes,4,4,4
"Congratulations! @RishiSunak 
✌️👏

#UK #NextUKPrimeMinister #RishiSunak #RishiSunakPM",5,yes,5,5,5
The guy that wrecked the economy over a low fatality virus is going to be prime minister. What could go wrong? #RishiSunak,1,no,1,1,1
"A monumental day in UK history, and global citizenship. @RishiSunak becoming Prime Minister of the UK is testament that individuals and their people can rise to the heights only dreamed by their forefathers.",3,yes,3,3,3
"@trussliz @RishiSunak Appointed not elected. 

You're the real winner, eh, Pork Markets?",4,yes,4,4,4
@JackBarbour_ @jdminiatures @JakeBerry @RishiSunak Appalling!,2,no,2,2,2
"@HowAdhd @jambotwit @piersmorgan @RishiSunak We Indians really need to stop laughing when another country burns down tbh. This hate is getting really stupid. Besides, Rishi is not the greatest person or politician, he's a rich guy who never had to buy a loaf of bread. It's like asking Kumar Manglam to become the PM of India",1,no,1,1,1
"Unbelievable that The UK's new Prime Minister Rishi Sunak's father was born in Kenya, here in Kitale.",4,yes,4,4,4
@RishiSunak .... not my PM not the country's PM he basically is spineless.  If you think you're own voted for you call a GE,3,yes,3,3,3
"@JustinWelby @RishiSunak Sadly, unable to comply. £700million in the bank, cutting £20 benefit from poorest - I think you might have your priorities back to front. pray for the poor that he has left behind and scorned. I have no prayers for Sunak and his ilk.",1,no,1,1,1
"@BritishAlba @JamesCleverly @RishiSunak UK hasn’t had a democracy for years, thanks to the tories!!",4,yes,4,4,4
"@CryptoSaintMig1 @BHHB_89 @mannythehitman @RishiSunak @stephendry @Jamiefowley1 I said I read more about his muscles and  who he is banging than I do on official updates.This is 100% factually correct,  not by any definition to what shite u wrote above. U are a genuine helmet man, stop wearing SR branding as u are discrediting my investment with crap u write",2,no,2,2,2
"@HarasRafiq @RishiSunak he's a grown up, finally back in No.10. Delighted",4,yes,4,4,4
"@BBCJLandale @RishiSunak @narendramodi @imVkohli One country that Rishi doesn't need to work on to maintain relationship is India

It comes by default.",3,yes,3,3,3
"@SelenaSmartArse @drsushilmisra @RishiSunak Ok let's not pretend like that's not a factor here. Many tories do see the new leadership doesn't seems to be British enough. Conservatives are in a slippery slope until the lethal Labor takes over; Real issues like Economy, Northern Ireland, Second Scottish Referendum sidelined.",4,yes,4,4,4
@NicolaSturgeon @RishiSunak Do you think he cares for your opinion. Doubt it very much,3,yes,3,3,3
"So the Tories have promoted Rishi Sunak to the highest office by default and without an internal vote, after previously voting against him in favor of Liz Truss, the ""better option"" who lasted 44 days.

Precisely nobody has voted for this man or any policies he plans to push.",5,yes,5,5,5
@acatherwoodnews @RishiSunak @JulianSmithUK  back again would be good. He made noticeable progress last time and unfortunately was changed too soon. The fact that some within Unionism didn’t like him as they couldn’t control was testament itself to a more level playing field,5,yes,5,5,5
"@sadiq_zaf @RishiSunak Ask not what nation can do for you, ask what you can do for this nation.",3,yes,3,3,3
@RishiSunak Rishi Sunak sooooo Visa on Arrival for Indians ? 🤔,3,yes,3,3,3
#RishiSunak orchestrated the take down of #borisJohnson then orchestrates the take down of #trussliz and totally prevents #ConserativesUK membership from having a vote on their next leader and future prime minister. I Wana know how the fck he managed that...,3,yes,3,3,3
@NotreRene @trussliz @RishiSunak They're gonna suffer next election when there aren't any boots on the ground,2,no,2,2,2
@Barnesy19 @Conservatives @RishiSunak @JakeBerry Well they got the choice right with @trussliz didn't they. Why do they think they should choose our PM and ignore the MPs. Well we know why. Good riddance,4,yes,4,4,4
@narendramodi @RishiSunak Congratulations🎉,5,yes,5,5,5
@ShashiTharoor @RishiSunak MMS crying at corner,2,no,2,2,2
"@nadhimzahawi @RishiSunak Was that said from the bottom of your heart again ? 
The ever so genuine @nadhimzahawi",5,yes,5,5,5
@LouiseMensch @RishiSunak Ah.  Thanks,4,yes,4,4,4
"Was Rishi Sunak actually installed years ago, only to be made British PM when the time was right?",3,yes,3,3,3
@Steve63619233 @witchendaswas @JamesCleverly @RishiSunak These two should never be mutually exclusive in a well functioning political party!,4,yes,4,4,4
@RishiSunak In through the back door!,3,yes,3,3,3
5th in 5 years = 10 Downing. #RishiSunak,3,yes,3,3,3
"@Iron4paws @NicolaSturgeon @RishiSunak Nicolas was chosen by nobody ,she took over from Alex",3,yes,3,3,3
@RishiSunak Sir i want to meet you . Is it possible,3,yes,3,3,3
"#Tories #racism is destroying #Britain
First with #Brexit
Then choosing #LizTruss above #RishiSunak 
#EnoughIsEnough 
#GeneralElectionNow",1,no,1,1,1
"#RishiSunak absolutely not, I'm sorry",3,yes,3,3,3
@DeniseMembery @MattHancock @RishiSunak 🤣you’re obviously not in with the ‘in crowd’ he’s only mates with people that can give him something. You are persona non grata 🤣,4,yes,4,4,4
"@SadhguruJV @RishiSunak @narendramodi 😃😂😂 Yes Yes, Modi only made him PM ! U might be the next President of India as well. So be glued to him.",5,yes,5,5,5
"@RhonddaBryant @RishiSunak Sunak is ""humbled"" he has been ""chosen"" to be the next PM. That`s as maybe, but he hasn`t been elected by the British electorate. Outrageous that the absence of a written constitution permits this. But he has no moral mandate anymore than Truss had.
#RishiSunak #Sunak",1,no,1,1,1
"#MichaelGove plotting and leading the #Tory in-fighting with, no doubt, the full support of #RishiSunak 🙃

#EnoughlsEnough 
#GeneralElectionNow",4,yes,4,4,4
@Swamy39 @mdsjaihind @RishiSunak It's all about democracy.,3,yes,3,3,3
"Liz Truss becomes the Prime Minister of Britain!! with a lead of 20927 votes
Votes gained (round figures)
Rishi Sunak : 60399
Liz Truss : 81326

#RishiSunak #LizTruss",4,yes,4,4,4
@MichaelVaughan @RishiSunak Here on the day when @RishiSunak became the PM. What an prediction 🔥,2,no,2,2,2
@sajidjavid @RishiSunak Will always remember you as the Jabathon king ! Go away,3,yes,3,3,3
@RishiSunak the #ERG and the #DUP will hold you forever to ransom over the NI Protocol.  Don’t be surprised if the good Friday  agreement is in tatters because you listened to  ERG and DUP and became their hostage to fortune @Conservatives @UKLabour @LBCNews @SkyNews,5,yes,5,5,5
"The world has moved on from Indian origin CEOs to Indian origin PMs...

#RishiSunak 
#UKPolitics",3,yes,3,3,3
@AriffShihab @RishiSunak @RW_UNP Absolutely spot on,3,yes,3,3,3
@piersmorgan @RishiSunak Proves morgan does not care about struggling people in uk .,3,yes,3,3,3
"@RishiSunak
for being elected as new pm of uk. The many firsts of #RishiSunak :
-First Non White UK PM
-First Indian origin UK PM
-First Hindu PM of UK
-At 42, he is the youngest British PM in this century #britishpolitics

Awesome Asian Awards👍",5,yes,5,5,5
@mrnickharvey @nadhimzahawi @RishiSunak Clearly Baskerville doesn’t have her diminutive hands on your phone.,4,yes,4,4,4
"@boris_backing @Jacob_Rees_Mogg @RishiSunak After 44 days of Liz Truss, are you surprised that no-one wants you to vote on this? There are 68.7M people in the UK, and 80,000 deluded pensioners gave forced the rest in to years, or maybe decades, of economic downturn through your silly ideology. You should be ashamed.",1,no,1,1,1
"@iainmartin1 Nicola Sturgeon: Scotland did not vote for him, in fact... no one voted for Rishi Sunak as the #ToryLeadershipFarce turned out to be a walkover.",2,no,2,2,2
@photomikeyhere @grantshapps @RishiSunak they create instability and chaos then think we'll thank them when they try and improve things.,4,yes,4,4,4
@ConciergeSarah @RishiSunak @ExcludedUK Amen.,3,yes,3,3,3
"@michaelgove @RishiSunak So give the ppl who employ you an election! This man was NOT the ppl’s choice😡
Pls remember who you actually work for &amp; who actually pays YOUR wages! 
Let us see who shares in your opinion &amp; if the gen public are willing to show fortitude in a new leader ship? 
 RIP TORIES 💀",4,yes,4,4,4
@MattHancock @RishiSunak How can we build a brighter future we’re having fucking blackouts in a month and people going to warm and food banks,4,yes,4,4,4
@trussliz @RishiSunak Congratulations Rishi,4,yes,4,4,4
"Well when we the English people were still living in caves, The Asian cultured people were still making history so Rishi Sunak has got a good start on us with his roots in civilisation, he does not need to be corrupt as he is also very rich so now I feel he will help  England",5,yes,5,5,5
"@Conservatives @RishiSunak Have they brought an Indian into Number 10, in order to get rid of the cowboys?",3,yes,3,3,3
@LiamFox @RishiSunak Did you back Johnson and then Truss? Wondering about your allegiances.,3,yes,3,3,3
"@RishiSunak Sir, Heartiest congratulations on becoming PM of UK .It's a proud moment for every Indian.We are proud of you and wish you a great successful career.Regards",5,yes,5,5,5
"Rishi Sunak was a junior member of the UK govt until he was unexpectedly asked to become finance minister, or Chancellor of the Exchequer in early 2020. Within weeks of taking up the post he was having to tackle the huge economic fallout of the Covid pandemic",4,yes,4,4,4
"@BrandonLewis @RishiSunak The ERG Tories split the Tories in 2016. They overtook the Tory party installing brexiters in all the top jobs. Now the economy is screwed, the country is screwed and the country's reputation screwed they're asking for the Tories to come together. Too late, you made your bed ...",1,no,1,1,1
"@JohnAda73875344 @SaraN12533752 @DeniseMembery @Conservatives @RishiSunak Sorry but is the country not a shithole now after Tory rule? I get you might support the Tory’s, but even you can’t be blind to the fact that they’ve ruined the country. Wouldn’t normally vote for them but at this point Labour have to be given a chance as things can’t get worse",1,no,1,1,1
"Liz Truss infiltrated the Conservative Party to destroy it. That's my conclusion about her Liberal past &amp; neo-liberal economics. She wanted to destroy the Conservative Party from within. Boris Johnson faction fell for her trap. #RishiSunak saw her economic policy as ""fairytale"".",2,no,2,2,2
@Conservatives @RishiSunak Life is an experience of consciousness.,3,yes,3,3,3
@Ianblackford_MP @RishiSunak Just get on with the job you were voted in to do. English politics is irrelevant,3,yes,3,3,3
@MattHancock @RishiSunak Notice he bypassed you in the line of congratulations,4,yes,4,4,4
@Conservatives @RishiSunak illegitimate pm with no mandate to do anything #notmypm #NoMandateSunak #illegitamatepm #GeneralElectionN0W,2,no,2,2,2
"May end up regretting this, but Rishi Sunak will likely last until the next election. He has minority appeal, he has broad parliamentary support and lacks the craziness of Truss.",3,yes,3,3,3
If you were to give #RishiSunak one advice what would it be?,3,yes,3,3,3
@Jacob_Rees_Mogg @RishiSunak Thought it was #borisorbust?,3,yes,3,3,3
"@OliverHealdUK ""We have a problem with human rights laws in this country, which makes it difficult for us to achieve our objectives."" Rishi Sunak

Also, please clarify which human rights you think we should be expected to give up, for the PM to achieve his objectives?",2,no,2,2,2
@Douglas4Moray @RishiSunak The Tories will never bring the UK together and you know it. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,3,yes,3,3,3
@MattHancock @RishiSunak Your full of it and just kissing his ****#generalelection,4,yes,4,4,4
"@AndrewBowie_MP @RishiSunak Brilliant news?

Did you want to see the end of the Tory party?",5,yes,5,5,5
"Rishi Sunak is the tv medias choice for Prime Minister. That should give him till about Wednesday/Thursday before the TV leftie vultures Rigby, Peston and co. start mudslinging him and his wife.",2,no,2,2,2
@Jacob_Rees_Mogg @RishiSunak Pretty sure you said you couldn’t support Rishi just a week ago on Sky News 🤷🏻,5,yes,5,5,5
"@RavinderKapur2 @kukk44 New British PM #RishiSunak  is an Indian.

BUT

Mrs Sonia Gandhi who lost her husband who was an Indian PM &amp; still fights a righteous fight to protect the true idea of #India is still an Italian..
No...?

भक्तों HYPOCRISY just died",1,no,1,1,1
@EarlGreySipper @NadineDorries I want #RishiSunak 🙋‍♂️,3,yes,3,3,3
@TarekFatah @PChidambaram_IN @KamalaHarris @RishiSunak @VP Exactly..... Well said..... Dont compare them with each other,4,yes,4,4,4
"@IanProwse i disagree that this is the only think you need to know about rishi sunak

you also need to know he lied about #Partygate 
he said he wasn't at a party - the police thought otherwise 

#RishiOut",1,no,1,1,1
"#RishiSunak becomes the first Indian-origin, Prime Minister on Diwali. You cannot make this up. This is huge and straight out of a Bollywood movie.Whatever your politics, whoever’s your leader,let’s all celebrate the first British Asian becoming PM and be proud of the country",5,yes,5,5,5
